Pair_a,Pair_b,Defer
ref_4_Img1,ref_4_Img2,False
ref_4_Img1,ref_4_Img3,True
ref_4_Img1,ref_4_Img4,False
ref_4_Img1,ref_4_Img5,False
ref_4_Img1,ref_4_Img6,False
ref_4_Img1,ref_4_Img7,False
ref_4_Img1,ref_4_Img8,True
ref_4_Img1,ref_4_Img9,True
ref_4_Img1,ref_4_Img10,False
ref_4_Img1,ref_4_Img11,False
ref_4_Img1,ref_4_Img12,False
ref_4_Img1,ref_4_Img13,False
ref_4_Img1,ref_4_Img14,False
ref_4_Img1,ref_4_Img15,False
ref_4_Img1,ref_4_Img16,False
ref_4_Img2,ref_4_Img3,True
ref_4_Img2,ref_4_Img4,True
ref_4_Img2,ref_4_Img5,False
ref_4_Img2,ref_4_Img6,False
ref_4_Img2,ref_4_Img7,False
ref_4_Img2,ref_4_Img8,False
ref_4_Img2,ref_4_Img9,True
ref_4_Img2,ref_4_Img10,True
ref_4_Img2,ref_4_Img11,True
ref_4_Img2,ref_4_Img12,True
ref_4_Img2,ref_4_Img13,True
ref_4_Img2,ref_4_Img14,False
ref_4_Img2,ref_4_Img15,True
ref_4_Img2,ref_4_Img16,True
ref_4_Img3,ref_4_Img4,True
ref_4_Img3,ref_4_Img5,False
ref_4_Img3,ref_4_Img6,False
ref_4_Img3,ref_4_Img7,True
ref_4_Img3,ref_4_Img8,False
ref_4_Img3,ref_4_Img9,True
ref_4_Img3,ref_4_Img10,True
ref_4_Img3,ref_4_Img11,False
ref_4_Img3,ref_4_Img12,True
ref_4_Img3,ref_4_Img13,False
ref_4_Img3,ref_4_Img14,False
ref_4_Img3,ref_4_Img15,True
ref_4_Img3,ref_4_Img16,True
ref_4_Img4,ref_4_Img5,False
ref_4_Img4,ref_4_Img6,False
ref_4_Img4,ref_4_Img7,True
ref_4_Img4,ref_4_Img8,True
ref_4_Img4,ref_4_Img9,True
ref_4_Img4,ref_4_Img10,True
ref_4_Img4,ref_4_Img11,True
ref_4_Img4,ref_4_Img12,True
ref_4_Img4,ref_4_Img13,True
ref_4_Img4,ref_4_Img14,False
ref_4_Img4,ref_4_Img15,False
ref_4_Img4,ref_4_Img16,False
ref_4_Img5,ref_4_Img6,False
ref_4_Img5,ref_4_Img7,False
ref_4_Img5,ref_4_Img8,False
ref_4_Img5,ref_4_Img9,False
ref_4_Img5,ref_4_Img10,True
ref_4_Img5,ref_4_Img11,False
ref_4_Img5,ref_4_Img12,False
ref_4_Img5,ref_4_Img13,False
ref_4_Img5,ref_4_Img14,False
ref_4_Img5,ref_4_Img15,False
ref_4_Img5,ref_4_Img16,True
ref_4_Img6,ref_4_Img7,False
ref_4_Img6,ref_4_Img8,True
ref_4_Img6,ref_4_Img9,True
ref_4_Img6,ref_4_Img10,False
ref_4_Img6,ref_4_Img11,True
ref_4_Img6,ref_4_Img12,False
ref_4_Img6,ref_4_Img13,True
ref_4_Img6,ref_4_Img14,False
ref_4_Img6,ref_4_Img15,False
ref_4_Img6,ref_4_Img16,True
ref_4_Img7,ref_4_Img8,False
ref_4_Img7,ref_4_Img9,True
ref_4_Img7,ref_4_Img10,True
ref_4_Img7,ref_4_Img11,False
ref_4_Img7,ref_4_Img12,True
ref_4_Img7,ref_4_Img13,False
ref_4_Img7,ref_4_Img14,True
ref_4_Img7,ref_4_Img15,False
ref_4_Img7,ref_4_Img16,False
ref_4_Img8,ref_4_Img9,False
ref_4_Img8,ref_4_Img10,False
ref_4_Img8,ref_4_Img11,True
ref_4_Img8,ref_4_Img12,True
ref_4_Img8,ref_4_Img13,True
ref_4_Img8,ref_4_Img14,False
ref_4_Img8,ref_4_Img15,False
ref_4_Img8,ref_4_Img16,True
