ms_ssim2_a,psnr_hvs_a,vif_a,iw_ssim_a,fsim_a,nlpd_a,vamf_a,ms_ssim2_b,psnr_hvs_b,vif_b,iw_ssim_b,fsim_b,nlpd_b,vamf_b
1.0,100000.0,0.99999845,1.000000119,1.0,0.0,97.428187,0.985054016,43.00960112,0.730759382,0.982939839,0.989616454,0.122923136,92.748444
1.0,100000.0,0.99999845,1.000000119,1.0,0.0,97.428187,0.973869324,36.63083834,0.546420515,0.96418798,0.975433111,0.16869019,85.787105
1.0,100000.0,0.99999845,1.000000119,1.0,0.0,97.428187,0.96330452,32.43563026,0.440828949,0.945036948,0.959757507,0.203548431,77.913884
1.0,100000.0,0.99999845,1.000000119,1.0,0.0,97.428187,0.939920187,27.45122547,0.31935972,0.905760646,0.930380464,0.263596028,59.688637
1.0,100000.0,0.99999845,1.000000119,1.0,0.0,97.428187,0.853026986,19.51922575,0.206538498,0.751105249,0.844627082,0.424834251,22.962528
1.0,100000.0,0.99999845,1.000000119,1.0,0.0,97.428187,0.970706761,37.46441772,0.48949042,0.963142633,0.972706199,0.180076703,84.461521
1.0,100000.0,0.99999845,1.000000119,1.0,0.0,97.428187,0.964598358,35.58582484,0.438301146,0.955150723,0.964795351,0.195702553,81.150014
1.0,100000.0,0.99999845,1.000000119,1.0,0.0,97.428187,0.956558108,33.70257471,0.38870278,0.944485068,0.955421269,0.21648401,77.729757
1.0,100000.0,0.99999845,1.000000119,1.0,0.0,97.428187,0.929788291,29.05195284,0.288145304,0.908740103,0.920274317,0.269810796,64.979223
1.0,100000.0,0.99999845,1.000000119,1.0,0.0,97.428187,0.90717423,26.58536815,0.237632543,0.879902184,0.889799535,0.312064409,56.669648
1.0,100000.0,0.99999845,1.000000119,1.0,0.0,97.428187,0.935236752,26.1591781,0.328457892,0.899853528,0.922550797,0.28063494,50.911276
1.0,100000.0,0.99999845,1.000000119,1.0,0.0,97.428187,0.960744858,30.42031263,0.412993252,0.940473974,0.957056403,0.232858226,64.873178
1.0,100000.0,0.99999845,1.000000119,1.0,0.0,97.428187,0.967632532,35.65057437,0.553986192,0.954093695,0.969426692,0.19730328,76.476735
1.0,100000.0,0.99999845,1.000000119,1.0,0.0,97.428187,0.979457617,37.46955901,0.601948738,0.16528675,0.9695732,0.981392562,81.357902
1.0,100000.0,0.99999845,1.000000119,1.0,0.0,97.428187,0.980756938,38.18870322,0.628564239,0.972743273,0.981847525,0.156298384,84.125442
