Pair_a,ms_ssim1,ms_ssim2,psnr_hvs[0],psnr_hvs[1],vif,iw_ssim,fsim,nlpd,lpips_yuv,lpips_y,dists_yuv,dists_y,vamf
ref_1_Img1,1,1,100000,100000,0.999999285,0,1.000000119,1,0,0,-1.19E-07,0,97.428271
ref_1_Img10,1,1,100000,100000,0.999999285,1.000000119,1,0,0,0,-1.19E-07,0,97.428271
ref_1_Img11,0.782961185,0.735942721,20.79590853,17.90169296,0.129225761,0.701163411,0.724740863,0.482682139,0.696631968,0.660131514,0.316503048,0.308490336,36.879923
ref_1_Img12,0.788382645,0.74296087,21.86200322,18.55915704,0.142137811,0.713349164,0.742314637,0.475033283,0.68855691,0.652861714,0.304018259,0.290945768,38.238931
ref_1_Img13,1,1,100000,100000,0.999999285,1.000000119,1,0,0,0,-1.19E-07,0,97.428271
ref_1_Img14,1,1,100000,100000,0.999999285,1.000000119,1,0,0,0,-1.19E-07,0,97.428271
ref_1_Img15,0.912710276,0.912253857,34.48540242,25.55742707,0.347593516,0.920932651,0.94221139,0.289760679,0.380800426,0.417223871,0.120121717,0.140896082,84.8611
ref_1_Img16,0.958916839,0.958223283,39.865843,29.57653876,0.508114338,0.963332474,0.973287106,0.197003946,0.271218449,0.300593168,0.064577937,0.083927751,91.174938
ref_1_Img2,0.904617582,0.905234158,21.01330067,18.52780936,0.439616621,0.885449767,0.903140545,0.261676818,0.423138559,0.467353106,0.165848494,0.172099113,52.891711
ref_1_Img3,0.893200869,0.893903613,20.84404759,18.34414208,0.417486936,0.864760995,0.892083824,0.281445205,0.450325727,0.488824725,0.185321569,0.190624714,49.844987
ref_1_Img4,0.964649219,0.964027047,31.67711081,25.20448565,0.599527001,0.96609652,0.969776094,0.170597732,0.263675123,0.298968077,0.040969133,0.040007353,84.850515
ref_1_Img5,0.586756578,0.553172648,13.4870426,12.40285619,0.471682161,0.334399939,0.589128673,0.753078282,0.773810625,0.803824365,0.476165414,0.490096986,0
ref_1_Img6,0.998579443,0.998568118,49.92772826,36.81217714,0.992465079,0.998757362,0.997425497,0.041230518,0.027529676,0.031096902,0.008040309,0.007286072,88.939037
ref_1_Img7,0.958475797,0.958579183,25.43287351,21.71867477,0.792574525,0.953834832,0.943245232,0.210848615,0.295232564,0.345027298,0.104340196,0.112967908,48.632538
ref_1_Img8,0.938068912,0.93705368,32.75214039,25.92151131,0.413766444,0.922239721,0.944634497,0.237028494,0.459711075,0.465112597,0.139829338,0.129083276,78.150771
ref_1_Img9,0.977838162,0.97731483,40.63927274,31.28289259,0.634869277,0.975347519,0.980674863,0.146746784,0.306860566,0.31311363,0.05977875,0.055782735,91.062719
ref_10_Img1,1,1,100000,100000,0.999998868,1,1,0,0,0,-1.19E-07,0,97.428216
ref_10_Img10,0.965071346,0.958402157,30.42885312,25.44315458,0.392614067,0.211108878,0.950172722,0.949114442,0.28241837,0.304074168,0.069054842,0.097341418,73.79287
ref_10_Img11,0.92711722,0.908772469,24.5605861,21.2623851,0.243641719,0.890725315,0.894211471,0.314913929,0.407490671,0.442562193,0.170987666,0.197517574,56.375821
ref_10_Img12,0.984466987,0.982666969,37.27669448,29.53724808,0.557329535,0.978853881,0.980908573,0.141462266,0.235484004,0.184802979,0.062178969,0.05484575,85.855521
ref_10_Img13,0.949638674,0.937857866,27.53214798,23.18704332,0.31025672,0.924849093,0.928435564,0.260910422,0.439028591,0.390025437,0.170127571,0.148496032,64.653636
ref_10_Img14,0.919509547,0.921963394,23.56242991,20.99637772,0.314686239,0.884962559,0.890159607,0.2963503,0.392298669,0.411439896,0.150400102,0.165600121,42.818033
ref_10_Img15,0.962939679,0.967703581,30.75005832,26.09393445,0.508852482,0.949838221,0.953281641,0.204479456,0.36159727,0.375025213,0.082677245,0.097093225,70.402078
ref_10_Img16,0.981525227,0.98452872,35.2664651,29.20406112,0.634760618,0.975222886,0.977796078,0.148084283,0.255732119,0.261816978,0.039642513,0.042411327,81.082034
ref_10_Img2,0.990499941,0.990512609,30.35919054,26.70492404,0.829508901,0.985939801,0.97994256,0.116603471,0.082062647,0.088430107,0.038359642,0.058188915,70.917887
ref_10_Img3,0.912460856,0.912542164,19.63691727,18.10460973,0.453249186,0.849743962,0.874319375,0.312077522,0.289953887,0.304999471,0.150820851,0.180747569,19.30772
ref_10_Img4,0.863694406,0.863637924,17.69679852,16.45411905,0.349026471,0.755100667,0.822550774,0.383901089,0.358028263,0.37140274,0.18753612,0.212686241,3.677064
ref_10_Img5,0.803853165,0.803257525,16.23949259,15.18648948,0.288189381,0.640783489,0.768124402,0.459728807,0.426773936,0.442471981,0.227337837,0.247785091,0
ref_10_Img6,0.994722775,0.994682074,44.01969911,35.89958719,0.835310698,0.993988395,0.994428873,0.071116127,0.07488098,0.072060004,0.015690327,0.02548492,93.35225
ref_10_Img7,0.969703369,0.969210804,31.09587215,26.3843607,0.462780952,0.958353221,0.961188376,0.178813517,0.24691543,0.223590672,0.086728096,0.094900608,77.275932
ref_10_Img8,0.937078886,0.935845792,25.12167834,22.15035507,0.31454879,0.907728851,0.918328702,0.263875633,0.349190533,0.32267648,0.147090316,0.14710027,58.678894
ref_10_Img9,0.988842369,0.98785162,37.77737757,31.55897662,0.645714998,0.985898197,0.985421479,0.120704763,0.12574707,0.1379852,0.024399817,0.041322172,89.261768
ref_11_Img1,1,1,100000,100000,0.999998868,1,1,0,0,0,-1.19E-07,0,97.428146
ref_11_Img10,0.942531253,0.935862601,29.69432221,22.69777899,0.294791967,0.924355745,0.932200968,0.293153733,0.47264111,0.459038615,0.171789587,0.140671849,66.039992
ref_11_Img11,0.908989024,0.914197266,22.64552002,19.48578892,0.294061005,0.332294762,0.872919798,0.882937312,0.467122734,0.508206666,0.192056596,0.198597133,45.243771
ref_11_Img12,0.946776415,0.956643164,28.89061152,22.82452717,0.36714825,0.93700701,0.948215723,0.258620501,0.398754299,0.451595366,0.121200144,0.139108479,63.189792
ref_11_Img13,0.953877932,0.964791775,32.79952959,25.6230758,0.466195136,0.948267817,0.961117208,0.221740827,0.370012313,0.412906885,0.103907943,0.123526633,71.161569
ref_11_Img14,0.970494445,0.980876505,37.02498889,27.48511576,0.547627389,0.969049811,0.980220973,0.177762076,0.280492663,0.310345203,0.044291377,0.057671607,78.662544
ref_11_Img15,0.977130625,0.982608318,37.94889534,28.73870377,0.591667056,0.974842846,0.980845451,0.161384344,0.249253854,0.272313356,0.040567398,0.052082121,82.805986
ref_11_Img16,0.919446031,0.906925321,26.58484254,20.97607858,0.241655678,0.892652154,0.904635131,0.347618103,0.528085411,0.51840961,0.209347785,0.179497957,58.941704
ref_11_Img2,0.988698814,0.988516629,42.37023947,32.45979032,0.701614797,0.987891197,0.989807546,0.112524189,0.179907411,0.188181937,0.038649201,0.056988478,91.245796
ref_11_Img3,0.982376147,0.982043445,39.41812336,29.95727764,0.583990574,0.979780734,0.982191503,0.143835291,0.226263493,0.238090932,0.064936936,0.079689503,87.398714
ref_11_Img4,0.964121007,0.963539779,33.10241558,25.78310061,0.42120716,0.95460552,0.957765877,0.205676854,0.326391816,0.343516856,0.11238277,0.126003742,79.30495
ref_11_Img5,0.938735625,0.937465727,27.28919046,22.30256478,0.307417989,0.915162444,0.923588991,0.276808798,0.405821532,0.4270657,0.170181274,0.182162881,67.856694
ref_11_Img6,0.896042451,0.894149542,22.95949816,19.51234322,0.221091345,0.841426373,0.871522963,0.355466574,0.483009279,0.498010635,0.239495277,0.247195661,48.547826
ref_11_Img7,0.986148224,0.986178041,42.63404702,31.34696066,0.613193035,0.984591186,0.988635242,0.141055107,0.249815747,0.223358542,0.045083284,0.038867295,90.002245
ref_11_Img8,0.978247011,0.977746904,39.8700859,28.7383992,0.510921896,0.974597692,0.980109215,0.176026776,0.31191802,0.28603375,0.072065592,0.064699233,86.434658
ref_11_Img9,0.965503426,0.962981462,35.73105919,25.90496869,0.405853897,0.957553446,0.964408934,0.22076194,0.387437969,0.367610216,0.101205051,0.095120549,79.792493
ref_12_Img1,1,1,100000,100000,0.999999046,1,1,0,0,0,0,0,97.428072
